#### ESC+< , CTRL+BARRA , CTRL+W, CTRL+Y, ESC+%, CTRL+Y, ENTER, REEMPLAZO, ENTER, ! ########
 00Z 14 04 2017,  0.00 , 8.33
 12Z 14 04 2017,  0.00 , 6.99
 00Z 15 04 2017,  0.00 , 7.98
 12Z 15 04 2017,  0.00 , 17.46
 00Z 16 04 2017,  53.49 , 24.93
 12Z 16 04 2017,  0.00 , 18.49
 00Z 17 04 2017,  35.38 , 21.37
 12Z 17 04 2017,  0.00 , 8.48
 00Z 18 04 2017,  0.00 , 11.46
 12Z 18 04 2017,  0.00 , 6.17
 00Z 19 04 2017,  0.00 , 8.96
 12Z 19 04 2017,  0.00 , 22.83
 00Z 20 04 2017,  1.62 , 24.69
 12Z 20 04 2017,  0.00 , 16.21
 00Z 21 04 2017,  0.00 , 30.36
 12Z 21 04 2017,  0.00 , 11.49
 00Z 22 04 2017,  0.00 , 11.24
 12Z 22 04 2017,  2.26 , 11.00
 00Z 23 04 2017,  0.00 , 5.89
 12Z 23 04 2017,  0.00 , 5.89
 00Z 24 04 2017,  0.00 , 2.52
 12Z 24 04 2017,  0.00 , 7.67
 00Z 25 04 2017,  0.00 , 10.28
 12Z 25 04 2017,  0.00 , 27.48
 00Z 26 04 2017,  0.00 , 26.61
 12Z 26 04 2017,  0.00 , 24.71
 00Z 27 04 2017,  0.00 , 25.08
 12Z 27 04 2017,  0.00 , 13.57
 12Z 28 04 2017,  0.00 , 8.12
 00Z 29 04 2017,  0.00 , 15.90
 12Z 29 04 2017,  0.00 , 24.75
 00Z 30 04 2017,  0.00 , 23.50
 12Z 30 04 2017,  0.00 , 28.85
 00Z 01 05 2017,  0.00 , 39.07
 12Z 01 05 2017,  0.00 , 33.80
 18Z 01 05 2017,  33.85 , 34.86
 00Z 02 05 2017,  0.00 , 17.38
 12Z 02 05 2017,  0.00 , 13.16
 00Z 03 05 2017,  0.00 , 14.49
 12Z 03 05 2017,  0.06 , 9.55
 00Z 04 05 2017,  0.00 , 5.72
 12Z 04 05 2017,  0.00 , 7.50
 00Z 05 05 2017,  0.00 , 22.98
 12Z 05 05 2017,  0.00 , 28.20
 00Z 06 05 2017,  0.00 , 24.12
 12Z 06 05 2017,  0.00 , 17.85
 00Z 07 05 2017,  0.00 , 17.54
 12Z 07 05 2017,  0.00 , 13.03
 00Z 08 05 2017,  30.09 , 7.79
 12Z 08 05 2017,  0.00 , 6.72
 00Z 09 05 2017,  0.00 , 9.16
 12Z 09 05 2017,  0.00 , 8.37
 00Z 10 05 2017,  0.00 , 14.04
 12Z 10 05 2017,  0.00 , 11.05
 00Z 11 05 2017,  0.00 , 9.02
 12Z 11 05 2017,  0.00 , 17.50
 00Z 12 05 2017,  0.00 , 13.41
 12Z 12 05 2017,  0.00 , 13.61
 00Z 13 05 2017,  0.00 , 15.19
 12Z 13 05 2017,  0.00 , 14.70
 00Z 14 05 2017,  0.00 , 15.67
 12Z 14 05 2017,  0.15 , 14.48
 00Z 15 05 2017,  49.95 , 11.36
 12Z 15 05 2017,  0.00 , 10.47
 00Z 16 05 2017,  0.00 , 11.09
 12Z 16 05 2017,  0.00 , 13.31
 00Z 17 05 2017,  0.00 , 20.68
 12Z 17 05 2017,  0.00 , 19.53
 00Z 18 05 2017,  0.00 , 20.48
 12Z 18 05 2017,  8.60 , 24.81
 00Z 19 05 2017,  17.10 , 23.26
 12Z 19 05 2017,  0.00 , 21.38
 00Z 20 05 2017,  0.00 , 16.29
 12Z 20 05 2017,  0.00 , 13.85
 00Z 21 05 2017,  0.00 , 19.97
 12Z 21 05 2017,  0.00 , 30.75
 00Z 22 05 2017,  0.00 , 34.76
 12Z 22 05 2017,  3.86 , 26.55
 00Z 23 05 2017,  0.00 , 10.84
 12Z 23 05 2017,  0.00 , 16.88
 00Z 24 05 2017,  0.00 , 21.11
 12Z 24 05 2017,  0.00 , 17.00
 00Z 25 05 2017,  0.00 , 22.61
 12Z 25 05 2017,  0.00 , 29.13
 00Z 26 05 2017,  0.00 , 22.81
 12Z 26 05 2017,  0.00 , 18.90
 00Z 27 05 2017,  0.00 , 26.30
 12Z 27 05 2017,  0.00 , 20.97
 00Z 28 05 2017,  7.96 , 18.72
 12Z 28 05 2017,  0.00 , 16.12
 00Z 29 05 2017,  655.74 , 26.92
 12Z 29 05 2017,  1.62 , 33.74
 00Z 30 05 2017,  0.00 , 15.39
 12Z 30 05 2017,  0.37 , 23.62
 00Z 31 05 2017,  61.50 , 14.00
 12Z 31 05 2017,  1.20 , 16.33
 00Z 01 06 2017,  0.91 , 16.35
 12Z 01 06 2017,  27.78 , 15.07
 00Z 02 06 2017,  0.58 , 15.02
 12Z 02 06 2017,  5.04 , 10.57
 00Z 03 06 2017,  0.00 , 11.25
 12Z 03 06 2017,  0.00 , 11.85
 00Z 04 06 2017,  0.00 , 9.38
 12Z 04 06 2017,  0.00 , 28.78
 00Z 05 06 2017,  124.88 , 31.64
 12Z 05 06 2017,  51.67 , 28.34
 00Z 06 06 2017,  0.00 , 21.04
 12Z 06 06 2017,  129.49 , 20.86
 00Z 07 06 2017,  0.00 , 23.39
 12Z 07 06 2017,  0.01 , 17.70
 00Z 08 06 2017,  0.00 , 12.36
 12Z 08 06 2017,  0.00 , 16.15
 00Z 09 06 2017,  3.00 , 18.45
 12Z 09 06 2017,  0.00 , 16.87
 00Z 10 06 2017,  0.00 , 22.06
 12Z 10 06 2017,  0.00 , 22.94
 00Z 11 06 2017,  0.00 , 31.16
 12Z 11 06 2017,  0.00 , 19.16
 00Z 12 06 2017,  0.00 , 20.21
 12Z 12 06 2017,  0.00 , 23.30
 00Z 13 06 2017,  0.00 , 27.05
 12Z 13 06 2017,  76.01 , 40.81
 00Z 14 06 2017,  0.00 , 36.56
 12Z 14 06 2017,  0.00 , 20.29
 00Z 15 06 2017,  0.00 , 26.35
 12Z 15 06 2017,  0.00 , 40.41
 00Z 16 06 2017,  25.04 , 42.43
 12Z 16 06 2017,  148.54 , 34.29
 00Z 17 06 2017,  0.00 , 27.33
 12Z 17 06 2017,  186.98 , 33.50
 00Z 18 06 2017,  624.54 , 37.50
 12Z 18 06 2017,  208.56 , 33.83
 00Z 19 06 2017,  350.35 , 45.89
 12Z 19 06 2017,  0.00 , 28.04
 00Z 20 06 2017,  169.74 , 25.06
 12Z 20 06 2017,  45.56 , 24.68
 00Z 21 06 2017,  102.43 , 21.93
 12Z 21 06 2017,  0.00 , 17.10
 00Z 22 06 2017,  5.60 , 20.21
 12Z 22 06 2017,  0.00 , 18.56
 00Z 23 06 2017,  211.74 , 36.79
 12Z 23 06 2017,  255.09 , 39.78
 00Z 24 06 2017,  255.58 , 42.93
 12Z 24 06 2017,  0.00 , 16.40
 00Z 25 06 2017,  749.37 , 25.36
 12Z 25 06 2017,  64.63 , 16.46
 00Z 26 06 2017,  525.27 , 18.33
 12Z 26 06 2017,  100.36 , 17.26
 00Z 27 06 2017,  436.59 , 15.93
 12Z 27 06 2017,  106.51 , 16.64
 00Z 28 06 2017,  404.27 , 16.14
 12Z 28 06 2017,  68.44 , 18.09
 00Z 29 06 2017,  0.00 , 16.46
 12Z 29 06 2017,  0.00 , 24.41
